index,price
1,324383.2713888595
2,955407.7978189414
3,196873.770389776
4,441672.2178140697
5,297386.6212073215
6,688937.094044151
7,775569.73852715
8,339577.64689571795
9,417330.21225225803
10,1269456.3406220262
11,270972.2336334204
12,521195.73447593243
13,194846.4009544751
14,462208.47801471624
15,837033.9356577084
16,496035.83083510835
17,743119.2250539893
18,232388.1508924674
19,612178.5677154637
20,299920.33709565835
21,286810.86302712874
22,235390.8602127829
23,274496.8147653976
24,284266.64021239855
25,604107.1624217418
26,705545.0279662509
27,264191.3991624271
28,301801.09121631575
29,857433.6795914713
30,597956.9147241949
31,304476.6641522361
32,587257.1760194914
33,493171.7569162878
34,597896.3318691652
35,246721.6902717999
36,213864.75646462216
37,615257.7898669125
38,950006.4667904315
39,2980004.5222674906
40,362685.2834297045
41,233929.09045665181
42,1961077.333054838
43,274109.63580221566
44,522056.76383028703
45,400174.4904794056
46,1180797.1067839933
47,588964.1894663387
48,239644.72541411262
49,312985.74789422523
50,1118519.155534765
51,597017.1699787974
52,513105.40064135403
53,243489.4317375304
54,295004.47378437134
55,443172.11825585086
56,823201.9086485872
57,354794.6875400238
58,460467.406145711
59,529321.7706858978
60,494079.719469788
61,303882.9320309837
62,1148395.2971694206
63,559034.5999027363
64,828469.2092225445
65,402186.60144178936
66,288001.8930801108
67,552997.7210510586
68,383228.2988266656
69,896318.0960421365
70,458559.89959277806
71,381145.795332667
72,571561.0046187195
73,272488.1638260232
74,687819.3331626718
75,704815.081081328
76,397178.7511362365
77,252352.31801834365
78,396855.57053029124
79,537394.3589555424
80,275739.5251960902
81,866248.5497558471
82,501254.29857181397
83,1365380.4021120192
84,506142.1718915625
85,679582.7180881582
86,314116.88127136446
87,557739.9198945655
88,426681.23848496773
89,320695.17632375157
90,1479217.1019038206
91,432802.4589643656
92,849895.1263828983
93,508367.15914087935
94,865513.2448119828
95,226196.36951718107
96,299460.5807497944
97,385142.31338353286
98,180327.17800819248
99,290042.0213581178
100,845339.0732676205
101,279379.3274218228
102,744412.4105303487
103,831554.2749646114
104,197092.44175640575
105,235692.74029298872
106,224025.1600385952
107,2196672.7501421077
108,424816.3894992384
109,284640.43864243414
110,604609.7687656019
111,2175420.5702247233
112,271695.9337489195
113,1122304.2268988239
114,583987.0223053406
115,266732.00377288077
116,409707.8084575082
117,635889.385532156
118,429858.73285223864
119,299679.1452361944
120,472356.1997602804
121,497447.2970514488
122,947842.3039622025
123,410426.5424030177
124,290663.34183306084
125,431556.66404512525
126,312555.6668871422
127,399423.4072532122
128,524269.83636032906
129,299824.9402316314
130,335624.071190152
131,275016.63744383684
132,418314.9799518884
133,1342346.64620633
134,494574.05983998644
135,222336.37110723084
136,300877.215488795
137,478577.05522636464
138,796787.981330701
139,243439.54249870076
140,578073.6111838474
141,1111417.5922882506
142,553880.3734934697
