index,price
1,278773.37260868424
2,1015564.4512323013
3,180824.9069273267
4,423049.15254194755
5,313966.68870755704
6,686319.5835429224
7,811272.5332939355
8,344196.41241163306
9,458125.44502789417
10,1360137.7995625082
11,260157.07949959947
12,547391.096123402
13,190924.85768063442
14,468544.68940344104
15,866422.2772898595
16,498901.07590404386
17,684543.4815953204
18,258927.6780683762
19,634312.6942985154
20,299212.1708723741
21,284884.7673216899
22,236492.33471779048
23,264270.77037400973
24,284580.32773013524
25,594972.5482128344
26,628460.3539654759
27,288190.0590009762
28,288560.95116442756
29,885167.5235317321
30,597157.8051185424
31,298304.7079053188
32,562071.8295789645
33,513663.0995828457
34,630256.5666576994
35,252137.12997907173
36,220658.37170455005
37,616409.3996246437
38,1072903.1400184077
39,4188073.980146132
40,349179.9043155181
41,240092.08779952617
42,1772301.9954683399
43,258347.69011846656
44,564215.8917377881
45,376163.50629655167
46,1114190.6988930353
47,526482.2358986146
48,228235.96719642275
49,319779.071042616
50,976393.7641563927
51,642941.3746195995
52,559105.2353318303
53,247679.67266668373
54,296681.7869435416
55,420828.33581029286
56,845476.4072229976
57,376913.15760323603
58,439401.8167332326
59,511774.30945423135
60,539994.4868265059
61,394512.49296653684
62,1183469.849876312
63,508116.7854352724
64,843619.4949125252
65,410091.60421495896
66,299376.06164983334
67,615969.7330895365
68,376318.4726230945
69,902451.1167469639
70,448369.71447302506
71,404289.74238342897
72,579919.9926866124
73,269070.09271681384
74,653672.8166579632
75,712838.1014494167
76,408361.18938298395
77,246236.4498825876
78,429363.81263341464
79,550547.9749535759
80,259251.20667044015
81,871483.6097472807
82,504135.0503501706
83,1302674.5481678639
84,566269.0411948222
85,679684.1758039407
86,305455.4179098955
87,508890.9345074999
88,399891.1951048138
89,323546.6417438084
90,1226920.3804454822
91,443022.2879580021
92,901615.3729624727
93,492649.1039352972
94,852325.7568852233
95,211819.37497121945
96,307864.0772688079
97,397265.160093552
98,165556.05397019343
99,281345.53471197735
100,876664.7950498229
101,297193.8983696182
102,633477.4940921596
103,908385.0174538237
104,184763.50402693928
105,217472.80170007428
106,203890.26513360284
107,2121267.494613966
108,445743.3602721164
109,328610.8029110235
110,600971.3643528661
111,1994820.167314149
112,275896.0636549471
113,1092421.431828399
114,665733.8933495916
115,276870.4484318438
116,451699.58330583794
117,737841.1467035213
118,425569.85623398615
119,317070.78748812876
120,467193.72993351845
121,523314.5624309888
122,953105.7797411177
123,406754.00709148456
124,304233.3434599408
125,476271.1963524453
126,335549.76864933426
127,515551.5193518218
128,542261.2497603989
129,296855.1151328026
130,343172.68558513286
131,273630.8418969973
132,412271.3112077018
133,1386787.1469460893
134,501270.29142264096
135,206514.04459539463
136,296911.7780479651
137,491381.66318739014
138,817536.759191689
139,237535.64562507003
140,557188.7408548438
141,1063911.357773501
142,589005.8646365276
143,191765.8430585799
144,820768.6589525603
145,680579.4772724068
146,302716.4510527967
147,305496.837040795
148,635940.6698374925
149,490917.1456135358
150,314058.5009729827
151,757868.4269622588
152,545702.4686832919
153,579156.3944279817
154,319601.5204758284
155,356963.0068535985
156,444727.7989999412
157,760327.5564090204
158,460717.9404377948
159,648036.5775867022
160,263453.81574756675
161,453652.6486433874
162,471318.66714694817
163,3551637.8933625845
164,514000.3712940111
165,635366.4661871347
166,422790.1733449383
167,589264.717317922
168,205420.50323169742
169,325174.3738908841
170,187765.0510903364
171,585285.0411862087
172,463320.60929964314
173,666274.3078246937
174,329443.044536336
175,681617.836353676
176,313495.96076807415
177,1045447.6471572861
178,738772.0441396442
179,479452.669932828
180,927537.6102014116
181,466574.1992945857
182,2388321.202624579
183,307029.43250062806
184,390791.0179519779
185,411295.65137708327
186,1146339.0685666306
187,299139.2454526691
188,606863.9864242959
189,583651.6682280573
190,516630.48295764887
191,382916.65177537606
192,508021.51308030414
193,738801.4906953
194,516438.55304442625
195,550547.9749535759
196,715563.6876445165
197,302955.4897420618
198,261967.99620177294
199,291813.9409105492
200,538934.7421047026
201,442955.4810377633
202,987496.4756055835
203,922098.4502749998
204,1864270.3422714614
205,570511.6412645883
206,430235.8980344626
207,470760.4545637624
208,379781.4548614807
209,378815.06533781113
210,503080.5346770111
211,714975.6321372779
212,523434.8068666663
213,930805.1060211707
214,1126993.7331829467
215,671919.8806042157
216,778725.5983110704
217,593710.7442559487
218,364523.4669532088
219,740567.7221510035
220,356830.54810618405
221,294693.28317948
222,487435.5014510723
223,427593.66348847264
224,1120791.1187443426
225,616078.2525806015
226,297336.74397150974
227,376522.94835628534
228,405051.40167651686
229,379174.0955282162
230,321518.74030813377
231,556331.2996076762
232,475017.58344106155
233,220684.7578329544
234,675016.3573405232
235,523859.33976190514
236,355844.16745484574
237,405722.4484474953
238,433866.79152759124
239,523228.90712238965
240,874058.517918574
241,371412.3469992627
242,776442.8451393573
243,564976.5222100405
244,1188207.0574296569
245,502355.29819336365
246,325969.97992734914
247,347481.28318944224
248,546962.1623027339
249,722329.7761942246
250,526482.2358986146
251,798512.9841413322
252,676318.4560771259
253,468768.5335230314
254,348760.05626629735
255,705844.2730314148
256,331280.52314446063
257,435426.3934887096
258,3079530.616855601
259,955346.8226277891
260,214410.86478829186
261,360126.2769032817
262,1009593.2041027604
263,716546.5350678372
264,675297.825881322
265,375998.6041261349
266,426162.9816245244
267,770909.1619935059
268,425942.92976488644
269,424118.0940633524
270,588965.6504178412
271,1936644.9459822392
272,620424.0801685503
273,433755.4028741112
274,2930126.923631425
275,705844.2730314148
276,502361.5509617254
277,437815.37254921655
278,743271.4261921672
279,398462.9253418969
280,501159.3914654246
281,288792.57593047415
282,579816.3614053137
283,544650.1051482351
284,201530.41165039124
285,422678.9081403238
286,332754.39456413034
287,834791.4351179216
288,307097.31077196985
289,252792.7433851906
290,2492064.5423156805
291,363064.1078993664
292,483478.5701490518
293,519488.95304485364
294,588226.5748812383
295,273285.30184867705
296,1544215.2091811104
297,732852.525750014
298,408830.7293788548
299,408376.5665136401
300,952069.281138466
301,392069.5271872402
302,461236.13997051044
303,399884.11539606843
304,708340.3029793977
305,321814.77772615367
306,401436.10271677404
307,423451.58091758465
308,415019.7400774338
309,285388.76561725157
310,225689.44273499522
311,1203684.646291832
312,313130.60953928996
313,342423.8680687343
314,1003093.6187341237
315,1079055.0871384358
316,774482.2860524978
317,787862.9140261216
318,520316.2926593137
319,495693.93789366743
320,298204.4027316125
321,275626.81085129484
322,441196.2304822254
323,445470.87491873256
324,466746.74504294584
325,802006.440672328
326,387509.85099980957
327,675950.6881311735
328,394102.367869838
329,442753.4995439298
330,376365.17311214865
331,698982.4620496624
332,1715457.3127755397
333,580913.5127289408
334,317273.34214883123
335,654694.0067784805
336,271766.30829301744
337,770479.9498544381
338,647734.7756260838
339,638404.2354390429
340,666959.8688475249
341,673099.3525343551
342,948730.8889947686
343,730909.15868008
344,959407.8450466904
345,227077.49899407703
346,674806.8916318021
347,440765.77608335443
348,297999.0184231218
349,493303.3659324693
350,800866.9444017943
351,464740.7632143961
352,333513.55572681956
353,451842.6689225505
354,1482026.0117202424
355,635191.1830856949
356,201820.9862298249
357,387744.71415170067
358,599857.8467858342
359,640483.8466722573
360,253229.7778749896
361,493711.3325447219
362,329803.3604825112
363,371003.9242518776
364,589348.5156201031
365,908666.0733379715
366,549107.0915489626
367,581733.6268078015
368,664152.3456314665
369,375515.98124101944
370,572928.7147454526
371,316796.50224166526
372,484473.0533514127
373,389179.68554732704
374,765909.4388875591
375,577553.3831448213
376,579464.0988229663
377,896921.9946454833
378,658059.0829883314
379,590595.9350927772
380,422908.49435198854
381,498142.8150558267
382,472802.7754005993
383,360746.9806951308
384,580034.4463929337
385,208537.8143466905
386,1340952.9836070677
